[20:15:39.130] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:39.396] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:39.660] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:39.910] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:40.163] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:40.429] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:40.681] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:40.950] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:41.215] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:41.481] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:41.733] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:41.999] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:42.265] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:42.515] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:42.765] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:43.016] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:43.281] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:43.531] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:43.799] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:44.049] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:44.317] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:44.582] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:44.847] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:45.114] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:45.364] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:45.615] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:45.881] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:46.131] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:46.398] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:46.665] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:46.932] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:47.181] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:47.449] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
[20:15:47.716] Bullet Init: dir=1, speed=18, damage=1, blast=False, pos=(-3.18, -0.02, 0.00)
